label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
f,0.551308,0.595373,-0.0,0.497928,0.515448,0.008311,0.441205,0.498669,0.004527,0.395903,0.496238,-0.006624,0.358934,0.497422,-0.018114,0.387818,0.576918,0.000439,0.331569,0.547669,-0.018517,0.290976,0.533959,-0.028561,0.256642,0.524839,-0.035933,0.39231,0.599161,-0.017992,0.381664,0.479213,-0.0511,0.433036,0.463516,-0.052658,0.466589,0.477792,-0.045643,0.409572,0.603408,-0.037332,0.408838,0.477951,-0.067777,0.456315,0.477647,-0.05606,0.48237,0.497137,-0.040859,0.433977,0.593928,-0.056955,0.431934,0.498526,-0.075431,0.465803,0.496162,-0.067165,0.485763,0.512934,-0.056814
f,0.549624,0.595837,-0.0,0.493572,0.518786,0.005773,0.435538,0.502712,0.002183,0.390106,0.501655,-0.008063,0.354596,0.499757,-0.018427,0.384265,0.575847,0.001699,0.328255,0.549086,-0.016609,0.287903,0.536878,-0.025966,0.253632,0.528369,-0.032605,0.388903,0.600523,-0.014054,0.379765,0.481863,-0.047348,0.428877,0.46581,-0.050403,0.460763,0.478243,-0.044053,0.405737,0.606285,-0.030765,0.407517,0.484081,-0.062316,0.454067,0.483518,-0.052843,0.479179,0.50039,-0.038271,0.42954,0.598029,-0.047727,0.429708,0.503177,-0.066507,0.465235,0.498466,-0.059069,0.485598,0.511359,-0.048753
f,0.546575,0.608762,-0.0,0.491962,0.528805,0.007173,0.433819,0.511814,0.004557,0.387548,0.509845,-0.004941,0.353054,0.506092,-0.014683,0.381781,0.58306,0.003447,0.325979,0.555308,-0.013943,0.286094,0.543727,-0.022694,0.252281,0.535712,-0.02903,0.386251,0.608342,-0.012709,0.375975,0.489416,-0.046101,0.426412,0.474265,-0.049067,0.460177,0.487655,-0.042313,0.402512,0.614855,-0.029669,0.404064,0.492152,-0.061364,0.452261,0.491748,-0.051936,0.478737,0.508718,-0.037129,0.425489,0.60769,-0.046673,0.426832,0.510573,-0.065129,0.463746,0.506793,-0.057569,0.484695,0.520629,-0.047135
f,0.546547,0.616024,-0.0,0.491745,0.536405,0.004874,0.432671,0.520368,0.001501,0.386896,0.518668,-0.008024,0.352842,0.515772,-0.017334,0.380071,0.593123,0.001129,0.324369,0.564748,-0.01642,0.284173,0.552917,-0.025001,0.250587,0.544509,-0.031191,0.385032,0.618266,-0.013898,0.373194,0.500326,-0.046734,0.422658,0.483115,-0.049064,0.456328,0.494794,-0.042108,0.401547,0.624758,-0.029975,0.40236,0.502008,-0.061377,0.44973,0.500629,-0.051891,0.475774,0.51722,-0.037189,0.42521,0.617051,-0.046307,0.425681,0.520457,-0.06455,0.461694,0.515941,-0.05719,0.482326,0.529459,-0.047092
f,0.545283,0.629,-0.0,0.491763,0.549968,0.006389,0.432554,0.532298,0.00413,0.385217,0.529563,-0.004875,0.350203,0.525503,-0.013822,0.37883,0.603136,0.004691,0.322329,0.575232,-0.012837,0.282219,0.564215,-0.021434,0.24755,0.557006,-0.027753,0.383198,0.627797,-0.011098,0.370294,0.512126,-0.045434,0.421402,0.497744,-0.04866,0.455438,0.511793,-0.041708,0.398852,0.634174,-0.027959,0.400292,0.513498,-0.060419,0.44901,0.514282,-0.051576,0.474379,0.532506,-0.036871,0.421284,0.626349,-0.044908,0.423795,0.529719,-0.063431,0.460835,0.528972,-0.056545,0.480192,0.546156,-0.046676
f,0.542104,0.6302,-0.0,0.486401,0.553375,0.004061,0.427928,0.536875,-0.000688,0.382253,0.534916,-0.011758,0.346016,0.532141,-0.0226,0.374934,0.609005,-3.9e-05,0.318843,0.58182,-0.019226,0.278409,0.569674,-0.028995,0.243816,0.561671,-0.035729,0.380052,0.634784,-0.015143,0.371255,0.518942,-0.049443,0.420789,0.503833,-0.052743,0.453418,0.516947,-0.046351,0.396795,0.642462,-0.031354,0.399675,0.521986,-0.064306,0.446666,0.522041,-0.055138,0.472379,0.53901,-0.040236,0.420311,0.635543,-0.047857,0.420699,0.539296,-0.067207,0.456444,0.534624,-0.059764,0.477195,0.548225,-0.049177
f,0.551086,0.641123,-0.0,0.506282,0.564342,-0.00687,0.447772,0.53298,-0.013624,0.399176,0.519373,-0.025085,0.356545,0.515768,-0.035694,0.382754,0.595304,-0.00505,0.324592,0.571162,-0.026704,0.283627,0.558717,-0.037818,0.2471,0.549847,-0.044892,0.382416,0.630504,-0.015253,0.386626,0.525837,-0.055411,0.443759,0.514857,-0.060698,0.482056,0.526593,-0.053751,0.396007,0.652465,-0.027788,0.410661,0.543597,-0.065493,0.463117,0.549637,-0.056419,0.49411,0.566326,-0.039276,0.417367,0.666107,-0.041829,0.424855,0.579051,-0.064559,0.45867,0.576069,-0.058261,0.479648,0.588597,-0.046543
f,0.563592,0.656228,-0.0,0.526041,0.581686,-0.014761,0.467932,0.543424,-0.021966,0.418276,0.527465,-0.032439,0.376738,0.513253,-0.04147,0.401484,0.582926,-0.006861,0.341309,0.561458,-0.02994,0.302704,0.552735,-0.040296,0.265682,0.54472,-0.046267,0.397715,0.623632,-0.012801,0.391698,0.551308,-0.056708,0.44996,0.548568,-0.062669,0.489261,0.561936,-0.054651,0.404216,0.659422,-0.022348,0.415418,0.583888,-0.065768,0.469437,0.594306,-0.058902,0.50128,0.614734,-0.041199,0.416434,0.694492,-0.033556,0.421459,0.623464,-0.059484,0.457852,0.61909,-0.054234,0.479681,0.634888,-0.04251
f,0.573464,0.700602,-0.0,0.542455,0.623074,-0.01931,0.472043,0.582869,-0.025867,0.415305,0.566267,-0.033561,0.372701,0.544362,-0.040198,0.405511,0.617467,-0.016104,0.340532,0.599118,-0.039293,0.294475,0.592413,-0.04998,0.254429,0.58671,-0.056466,0.401974,0.667096,-0.019255,0.39675,0.598032,-0.06474,0.455269,0.597992,-0.070153,0.497127,0.611827,-0.061405,0.409902,0.712191,-0.025667,0.41835,0.641648,-0.070447,0.474822,0.648812,-0.06152,0.509833,0.66395,-0.042228,0.425339,0.755596,-0.034007,0.428032,0.690597,-0.064047,0.469973,0.68438,-0.058804,0.496079,0.693221,-0.046064
f,0.583709,0.704859,-0.0,0.55055,0.630707,-0.018863,0.482424,0.586233,-0.02553,0.425689,0.56832,-0.033536,0.384164,0.547221,-0.040484,0.414926,0.619367,-0.018131,0.348969,0.600907,-0.041943,0.303938,0.596696,-0.052591,0.264191,0.594056,-0.058762,0.411081,0.670068,-0.021263,0.403412,0.610538,-0.064283,0.460756,0.60757,-0.06837,0.502195,0.617443,-0.059342,0.419278,0.715624,-0.027511,0.42833,0.652002,-0.070174,0.484629,0.655891,-0.060423,0.520308,0.668176,-0.040842,0.435259,0.758671,-0.03575,0.437835,0.699873,-0.062654,0.476569,0.689201,-0.055867,0.501755,0.694595,-0.042326
f,0.579732,0.71255,-0.0,0.547809,0.637567,-0.0201,0.478353,0.592556,-0.027568,0.420235,0.57584,-0.036084,0.377971,0.556185,-0.043356,0.413814,0.623364,-0.019925,0.345471,0.605089,-0.044343,0.300874,0.600669,-0.054477,0.260952,0.596324,-0.060128,0.409386,0.674121,-0.022351,0.400157,0.615115,-0.068691,0.458801,0.613963,-0.073418,0.500354,0.622622,-0.06356,0.414919,0.719714,-0.027831,0.42452,0.656831,-0.073254,0.482901,0.662342,-0.063507,0.518179,0.674006,-0.042833,0.427617,0.76166,-0.035211,0.432629,0.702556,-0.063937,0.474741,0.695394,-0.057403,0.500044,0.703371,-0.043397
f,0.580922,0.719073,-0.0,0.548727,0.64353,-0.020612,0.479719,0.596228,-0.028151,0.421204,0.577879,-0.036695,0.37882,0.555754,-0.043862,0.414463,0.6263,-0.019051,0.346972,0.608064,-0.043191,0.301957,0.604311,-0.053683,0.262165,0.600501,-0.059702,0.409251,0.677411,-0.021358,0.399757,0.621438,-0.066971,0.456651,0.622559,-0.072037,0.49796,0.632173,-0.062531,0.414726,0.723569,-0.026835,0.424627,0.664238,-0.071379,0.48185,0.669505,-0.061762,0.517375,0.679864,-0.041271,0.427751,0.766088,-0.034388,0.433004,0.710886,-0.06246,0.47307,0.701358,-0.055989,0.497882,0.705537,-0.041979
f,0.586934,0.720031,-0.0,0.554546,0.643411,-0.020491,0.487035,0.596272,-0.028224,0.428508,0.578862,-0.037112,0.386165,0.554475,-0.044594,0.421629,0.629305,-0.017973,0.355238,0.612033,-0.042331,0.311127,0.609385,-0.052956,0.271741,0.607361,-0.059161,0.417522,0.679379,-0.020615,0.406206,0.6222,-0.066019,0.46376,0.621797,-0.071094,0.504454,0.632478,-0.061797,0.423941,0.724673,-0.026544,0.431563,0.666092,-0.07159,0.4883,0.671315,-0.062214,0.522823,0.683162,-0.041874,0.437107,0.76759,-0.03443,0.440173,0.712455,-0.062858,0.480505,0.703375,-0.056223,0.505315,0.709475,-0.0422
f,0.587008,0.710934,-0.0,0.554829,0.63598,-0.019846,0.484869,0.590448,-0.026975,0.426539,0.576276,-0.035227,0.383842,0.556877,-0.041851,0.41977,0.625234,-0.018157,0.352226,0.609223,-0.042531,0.307603,0.60499,-0.053544,0.268006,0.599502,-0.060049,0.416116,0.674298,-0.020935,0.406435,0.609818,-0.066566,0.462828,0.604367,-0.072332,0.503718,0.610846,-0.063589,0.422444,0.718571,-0.026805,0.430413,0.652652,-0.071714,0.487219,0.65447,-0.062554,0.522162,0.664343,-0.042555,0.436155,0.760251,-0.034633,0.439075,0.701113,-0.064025,0.480152,0.691091,-0.057899,0.506758,0.696322,-0.044101
f,0.577595,0.705634,-0.0,0.541694,0.631997,-0.017664,0.472576,0.591142,-0.024308,0.41507,0.579625,-0.032686,0.373086,0.564173,-0.039714,0.409922,0.62782,-0.014601,0.342653,0.613673,-0.038,0.300552,0.611662,-0.047835,0.261913,0.608493,-0.053429,0.408826,0.675526,-0.018221,0.390477,0.612981,-0.063311,0.448681,0.60616,-0.06884,0.489266,0.613315,-0.059826,0.415684,0.718286,-0.024832,0.416715,0.650016,-0.070305,0.474436,0.652825,-0.061662,0.508263,0.666304,-0.04179,0.428847,0.759003,-0.032906,0.427683,0.697573,-0.062447,0.468733,0.689178,-0.056378,0.493919,0.698546,-0.042917
f,0.57299,0.718382,-0.0,0.537711,0.644769,-0.017887,0.46973,0.603154,-0.024096,0.413198,0.589104,-0.032553,0.371825,0.567803,-0.039972,0.409934,0.639183,-0.011012,0.342486,0.623374,-0.033306,0.300132,0.620678,-0.042256,0.262416,0.618295,-0.046893,0.409057,0.686596,-0.014485,0.389833,0.631351,-0.059971,0.445896,0.624664,-0.066065,0.487684,0.630084,-0.056708,0.414459,0.730614,-0.0212,0.414761,0.670629,-0.066997,0.47298,0.672614,-0.058517,0.509544,0.683306,-0.037831,0.424739,0.774334,-0.029432,0.422444,0.717271,-0.057338,0.46266,0.709266,-0.050269,0.488243,0.719075,-0.035847
f,0.55211,0.736139,-0.0,0.522786,0.662178,-0.021671,0.455553,0.61834,-0.027643,0.39838,0.605601,-0.034378,0.356342,0.586036,-0.039641,0.396764,0.653168,-0.012721,0.328295,0.640582,-0.033659,0.286468,0.64151,-0.041931,0.248287,0.643929,-0.046424,0.395967,0.700799,-0.013591,0.365139,0.651832,-0.056642,0.420583,0.645628,-0.061998,0.461202,0.652279,-0.052859,0.400794,0.745904,-0.017901,0.389209,0.694575,-0.062893,0.448092,0.69576,-0.054587,0.48406,0.706822,-0.034518,0.409984,0.792893,-0.023825,0.398319,0.742716,-0.053017,0.439433,0.733514,-0.046738,0.466932,0.740643,-0.033154
f,0.540567,0.72506,-0.0,0.513066,0.651085,-0.020825,0.444251,0.606925,-0.02696,0.385551,0.594985,-0.033746,0.344223,0.573399,-0.03923,0.383714,0.643085,-0.01466,0.316083,0.632326,-0.036775,0.272874,0.632358,-0.046278,0.233794,0.631207,-0.05208,0.38289,0.691224,-0.016653,0.354467,0.636987,-0.061954,0.412887,0.633579,-0.067522,0.455191,0.642372,-0.057892,0.388158,0.73629,-0.021814,0.374602,0.682055,-0.068654,0.434729,0.682969,-0.059418,0.472044,0.692511,-0.038334,0.399038,0.782123,-0.028394,0.385984,0.731664,-0.060533,0.430005,0.721608,-0.053821,0.460125,0.726571,-0.039158
f,0.563763,0.724202,-0.0,0.535551,0.652204,-0.020825,0.463137,0.609394,-0.026146,0.404499,0.594733,-0.032196,0.362301,0.570735,-0.037022,0.403593,0.644744,-0.015983,0.332608,0.634008,-0.038859,0.287774,0.63307,-0.048496,0.247982,0.632084,-0.054249,0.40374,0.693711,-0.018831,0.377402,0.642461,-0.063673,0.436574,0.636542,-0.067987,0.479149,0.644065,-0.058081,0.411376,0.740554,-0.025187,0.400243,0.686097,-0.071196,0.459457,0.685158,-0.060556,0.495862,0.6947,-0.039052,0.424078,0.787434,-0.033219,0.407707,0.735591,-0.063021,0.448092,0.724017,-0.054346,0.475802,0.731461,-0.038962
f,0.542089,0.681401,0.0,0.489116,0.607185,0.006226,0.424798,0.591882,0.001283,0.374208,0.595963,-0.010863,0.334505,0.601836,-0.022256,0.367769,0.674603,0.000268,0.306125,0.661047,-0.020755,0.264743,0.655934,-0.030878,0.226925,0.653044,-0.037634,0.374997,0.706957,-0.017475,0.346514,0.597355,-0.054349,0.40194,0.57434,-0.05547,0.439414,0.585478,-0.046032,0.390256,0.721228,-0.036515,0.376051,0.604192,-0.071162,0.430505,0.594407,-0.056357,0.461312,0.612614,-0.03633,0.411992,0.720743,-0.055738,0.398387,0.624505,-0.074919,0.436279,0.616367,-0.062985,0.458862,0.634868,-0.048859
f,0.549769,0.688447,-0.0,0.494306,0.606187,0.00195,0.434091,0.587194,-0.003212,0.386597,0.587585,-0.015655,0.348772,0.596169,-0.027697,0.373887,0.676846,0.003062,0.312737,0.658584,-0.01892,0.269657,0.651719,-0.030353,0.23201,0.647574,-0.03796,0.37943,0.706249,-0.01301,0.358077,0.590756,-0.053663,0.414062,0.573589,-0.058303,0.449348,0.589501,-0.050314,0.394021,0.718933,-0.031055,0.385314,0.597206,-0.069515,0.438862,0.592909,-0.059732,0.466727,0.612183,-0.042364,0.414996,0.718437,-0.049777,0.407523,0.619406,-0.072557,0.446476,0.613036,-0.06459,0.468495,0.630532,-0.052294
f,0.56106,0.675867,-0.0,0.505547,0.595402,0.002977,0.443018,0.575964,-0.001701,0.39539,0.575623,-0.01343,0.355599,0.580285,-0.024577,0.383139,0.664976,0.002176,0.323481,0.638848,-0.018991,0.281592,0.630079,-0.030048,0.244381,0.624245,-0.037651,0.388049,0.692881,-0.014503,0.373219,0.571126,-0.053347,0.43051,0.554551,-0.056789,0.465248,0.568855,-0.048856,0.403716,0.702958,-0.032959,0.400709,0.578315,-0.069097,0.453497,0.575943,-0.058154,0.481078,0.59456,-0.041022,0.425497,0.700492,-0.052179,0.42004,0.604545,-0.073007,0.457736,0.59805,-0.064095,0.479177,0.612732,-0.051919
f,0.567933,0.678313,-0.0,0.512954,0.595577,0.001647,0.452319,0.57631,-0.003182,0.406381,0.578408,-0.014435,0.367795,0.586043,-0.025124,0.389362,0.663808,-0.000949,0.330788,0.639119,-0.021911,0.288922,0.631489,-0.032732,0.252236,0.628455,-0.040262,0.395251,0.693271,-0.016419,0.376062,0.573969,-0.05439,0.430749,0.552562,-0.057576,0.466625,0.565036,-0.049801,0.41161,0.704838,-0.033587,0.405411,0.579502,-0.070072,0.457278,0.5737,-0.059811,0.485631,0.591788,-0.043116,0.434474,0.702709,-0.051392,0.427805,0.601222,-0.072911,0.46576,0.5929,-0.064572,0.488548,0.608108,-0.052689
f,0.517803,0.63089,0.0,0.448826,0.552924,-0.002028,0.381218,0.537607,-0.007162,0.331951,0.546654,-0.017341,0.290729,0.548935,-0.026864,0.32882,0.624447,0.003612,0.273013,0.600052,-0.01493,0.229134,0.590333,-0.026574,0.190898,0.585104,-0.034514,0.337049,0.653089,-0.007557,0.326656,0.540106,-0.042478,0.375793,0.523422,-0.05013,0.407809,0.535338,-0.045749,0.356184,0.663236,-0.02042,0.35207,0.547968,-0.055372,0.398713,0.542289,-0.049853,0.425517,0.554121,-0.035684,0.382191,0.660219,-0.033782,0.373788,0.568809,-0.054949,0.409653,0.556098,-0.048579,0.432112,0.561,-0.03707
f,0.608658,0.564425,0.0,0.569797,0.49904,-0.010514,0.510192,0.483253,-0.020665,0.467836,0.49719,-0.031071,0.437513,0.508,-0.039681,0.471425,0.560651,-0.028524,0.423782,0.557905,-0.052312,0.386791,0.556107,-0.06677,0.356275,0.555456,-0.076654,0.480885,0.589587,-0.035437,0.482343,0.499956,-0.062698,0.515718,0.4862,-0.065033,0.530006,0.49449,-0.063146,0.501664,0.600759,-0.043557,0.508258,0.502816,-0.069115,0.538727,0.493435,-0.058367,0.54785,0.508157,-0.047418,0.528775,0.597511,-0.053183,0.531444,0.513349,-0.068573,0.555126,0.505831,-0.059337,0.562787,0.522649,-0.050594
f,0.748985,0.623074,0.0,0.709193,0.555265,-0.002226,0.655906,0.541138,-0.010487,0.616963,0.542654,-0.022051,0.583314,0.536557,-0.032372,0.612085,0.609604,-0.013618,0.571262,0.586669,-0.034785,0.539658,0.577083,-0.047066,0.512137,0.570185,-0.055478,0.621074,0.632663,-0.024176,0.616653,0.532771,-0.051458,0.651478,0.528954,-0.053466,0.6656,0.546337,-0.049742,0.641851,0.636499,-0.035921,0.643476,0.537237,-0.060451,0.673736,0.536107,-0.049364,0.684417,0.555513,-0.036817,0.667259,0.628988,-0.048516,0.667582,0.550433,-0.061421,0.690254,0.549349,-0.052017,0.699576,0.568685,-0.04271
g,0.510267,0.624676,0.0,0.463463,0.606702,-0.008234,0.425579,0.611693,-0.02387,0.405162,0.615469,-0.041431,0.418466,0.62752,-0.057573,0.414172,0.712186,-0.037325,0.401635,0.753849,-0.066307,0.386194,0.736154,-0.079117,0.382214,0.707137,-0.084363,0.444064,0.732906,-0.047711,0.427969,0.674581,-0.080773,0.444063,0.629847,-0.081883,0.456493,0.621691,-0.075817,0.477412,0.726872,-0.058928,0.465622,0.648762,-0.086286,0.473101,0.62042,-0.07772,0.480305,0.63041,-0.066306,0.508452,0.708562,-0.07135,0.498272,0.638071,-0.087453,0.498079,0.618048,-0.080934,0.499813,0.630544,-0.072171
g,0.514237,0.623685,0.0,0.470233,0.607327,-0.012482,0.433843,0.604262,-0.031908,0.409304,0.608746,-0.054246,0.420879,0.626603,-0.074915,0.420332,0.711233,-0.029139,0.400885,0.750058,-0.064767,0.385085,0.730612,-0.084598,0.379534,0.6975,-0.092504,0.449008,0.731988,-0.037113,0.429091,0.678188,-0.070507,0.442879,0.634704,-0.075072,0.452803,0.630272,-0.071767,0.479651,0.728545,-0.047914,0.46559,0.655648,-0.075801,0.474231,0.628749,-0.070594,0.48073,0.636733,-0.061394,0.507002,0.71275,-0.060477,0.498311,0.646956,-0.075459,0.500121,0.627761,-0.070519,0.503323,0.638851,-0.062697
g,0.52152,0.619859,-0.0,0.477229,0.603071,-0.011069,0.441048,0.603702,-0.028158,0.4178,0.610658,-0.048124,0.423847,0.631759,-0.066428,0.428184,0.711223,-0.027101,0.408401,0.751697,-0.06172,0.392522,0.731904,-0.081573,0.387227,0.69881,-0.089857,0.456726,0.731724,-0.03524,0.43608,0.678846,-0.068201,0.449992,0.633946,-0.073579,0.461008,0.629252,-0.071228,0.487104,0.728366,-0.046091,0.470662,0.65722,-0.074012,0.480324,0.62874,-0.069239,0.488152,0.636706,-0.06066,0.514495,0.712873,-0.058537,0.504441,0.647626,-0.074451,0.507116,0.62758,-0.070138,0.511054,0.638406,-0.062756
g,0.527768,0.622732,-0.0,0.482143,0.604463,-0.00945,0.442609,0.601378,-0.0264,0.415769,0.6071,-0.04684,0.426754,0.625802,-0.065869,0.428514,0.708897,-0.024449,0.407668,0.749149,-0.057306,0.389954,0.732159,-0.075473,0.38383,0.699973,-0.08247,0.456214,0.729751,-0.033054,0.436777,0.674733,-0.063625,0.450796,0.632982,-0.067868,0.461877,0.629797,-0.064808,0.48643,0.727233,-0.044187,0.473193,0.652682,-0.069835,0.483536,0.627585,-0.065087,0.491134,0.636281,-0.05672,0.513609,0.712819,-0.056846,0.505796,0.646256,-0.07011,0.509586,0.627544,-0.065183,0.513738,0.63784,-0.057733
g,0.533065,0.62829,-0.0,0.488214,0.606377,-0.010234,0.449436,0.604035,-0.02698,0.425163,0.6126,-0.046958,0.437497,0.631294,-0.065234,0.428935,0.710629,-0.023071,0.408678,0.756887,-0.053953,0.393024,0.744823,-0.069525,0.390261,0.717023,-0.075103,0.45689,0.735886,-0.030917,0.441813,0.687833,-0.061755,0.457329,0.642791,-0.065312,0.468391,0.639496,-0.061298,0.48848,0.737075,-0.041255,0.480217,0.668992,-0.068899,0.48986,0.640577,-0.064529,0.496991,0.649847,-0.055687,0.517324,0.72596,-0.052775,0.512565,0.663873,-0.066916,0.515249,0.642545,-0.061743,0.519359,0.653872,-0.053935
g,0.533153,0.626137,-0.0,0.478386,0.61227,-0.012778,0.434718,0.608481,-0.026224,0.417662,0.612816,-0.040176,0.411924,0.62223,-0.051257,0.439959,0.695846,-0.043164,0.419097,0.694136,-0.070375,0.406898,0.658655,-0.081779,0.401781,0.62733,-0.08578,0.473838,0.709818,-0.048557,0.454465,0.596585,-0.070276,0.459041,0.592545,-0.066662,0.464688,0.618515,-0.062172,0.509102,0.692406,-0.055351,0.489625,0.580019,-0.072202,0.488819,0.59251,-0.05666,0.490065,0.622285,-0.043781,0.540729,0.667877,-0.064896,0.523254,0.579445,-0.080749,0.518862,0.589136,-0.073573,0.519681,0.615506,-0.063557
g,0.50197,0.647584,0.0,0.457036,0.638424,-0.027079,0.426073,0.607431,-0.056493,0.421677,0.556257,-0.083344,0.427031,0.505138,-0.110411,0.447823,0.63431,-0.079786,0.434387,0.545103,-0.118856,0.427294,0.4982,-0.140924,0.419779,0.470908,-0.152765,0.489691,0.635437,-0.083652,0.476652,0.532037,-0.113528,0.459142,0.510034,-0.114497,0.446583,0.505764,-0.115958,0.524965,0.623808,-0.088373,0.505744,0.526203,-0.112227,0.48374,0.502743,-0.099997,0.467893,0.493104,-0.089657,0.549247,0.605813,-0.096772,0.532871,0.527112,-0.110615,0.512377,0.503974,-0.100756,0.498106,0.492345,-0.092386
g,0.52682,0.615614,0.0,0.467552,0.634412,-0.007073,0.418255,0.608164,-0.012888,0.401799,0.553294,-0.011801,0.412014,0.513469,-0.011077,0.435998,0.57287,-0.049569,0.417965,0.490766,-0.057463,0.403915,0.45095,-0.061522,0.392308,0.42137,-0.064807,0.469508,0.538904,-0.045222,0.429738,0.463386,-0.048341,0.420352,0.475548,-0.040244,0.422699,0.500187,-0.03386,0.495822,0.513554,-0.037086,0.455241,0.451943,-0.032602,0.444142,0.467026,-0.017891,0.444269,0.491251,-0.008577,0.51544,0.497886,-0.028989,0.481577,0.462457,-0.021875,0.471727,0.478052,-0.008549,0.473317,0.497626,0.000934
g,0.524544,0.641176,0.0,0.475312,0.617734,-0.006727,0.427139,0.581549,-0.020392,0.400897,0.55052,-0.032037,0.398034,0.519745,-0.041053,0.426697,0.62392,-0.04982,0.395872,0.597006,-0.079028,0.389054,0.561409,-0.096798,0.389511,0.529537,-0.106426,0.459387,0.630886,-0.059326,0.442075,0.518036,-0.092527,0.448556,0.524235,-0.09724,0.454623,0.558893,-0.094359,0.493316,0.618039,-0.067253,0.473566,0.514513,-0.087068,0.480072,0.525553,-0.073413,0.483267,0.558217,-0.059239,0.523458,0.597547,-0.076154,0.50614,0.517662,-0.078975,0.507293,0.529511,-0.06321,0.508865,0.560101,-0.050533
g,0.552131,0.582462,0.0,0.505169,0.539392,-0.006808,0.461655,0.525012,-0.010542,0.435309,0.531617,-0.015846,0.447554,0.566121,-0.0192,0.42139,0.602077,-0.000747,0.38537,0.646595,-0.007286,0.366103,0.647878,-0.013031,0.346453,0.656244,-0.019135,0.436846,0.640984,-0.006846,0.408987,0.644922,-0.022855,0.442593,0.598471,-0.028509,0.460652,0.586766,-0.027662,0.46364,0.661795,-0.01321,0.437664,0.66522,-0.029194,0.467568,0.611614,-0.022626,0.482904,0.606523,-0.012916,0.493307,0.673438,-0.020633,0.476516,0.659551,-0.029245,0.490165,0.625668,-0.020413,0.498969,0.630175,-0.011008
g,0.54849,0.590512,0.0,0.499908,0.555198,-0.008761,0.45019,0.549856,-0.022899,0.424544,0.553063,-0.039307,0.442702,0.571542,-0.054035,0.421337,0.652052,-0.02403,0.397932,0.692,-0.045636,0.379428,0.680958,-0.056847,0.376283,0.661877,-0.063261,0.446854,0.684103,-0.034423,0.43219,0.643293,-0.063307,0.45338,0.595378,-0.066897,0.470077,0.584315,-0.063694,0.478771,0.693565,-0.045982,0.471459,0.636297,-0.069686,0.485559,0.60019,-0.063562,0.495699,0.605174,-0.055227,0.510336,0.687149,-0.059184,0.50809,0.62456,-0.072039,0.514595,0.600795,-0.06711,0.51928,0.612456,-0.061014
g,0.500193,0.645366,0.0,0.449132,0.636837,-0.023894,0.419956,0.611293,-0.053959,0.419665,0.571008,-0.081017,0.424688,0.531914,-0.10885,0.446513,0.622615,-0.085437,0.444623,0.527889,-0.12555,0.432001,0.482729,-0.147094,0.420541,0.440809,-0.156381,0.492746,0.623079,-0.087764,0.477021,0.508616,-0.109766,0.467446,0.518233,-0.097476,0.461028,0.534775,-0.088678,0.529402,0.613976,-0.090284,0.505334,0.50651,-0.104464,0.490636,0.516184,-0.073281,0.483764,0.524206,-0.049353,0.554602,0.600079,-0.097381,0.535666,0.514789,-0.107686,0.516382,0.517992,-0.088322,0.507002,0.524206,-0.070436
g,0.533347,0.620695,0.0,0.469634,0.630187,-0.009921,0.416736,0.594563,-0.015179,0.40156,0.537671,-0.011372,0.417549,0.499305,-0.006843,0.439835,0.555741,-0.05841,0.426214,0.470493,-0.068426,0.415758,0.42835,-0.073102,0.405918,0.394654,-0.076393,0.47386,0.525022,-0.049288,0.438357,0.446549,-0.044368,0.427715,0.456927,-0.028559,0.429495,0.478757,-0.019702,0.499547,0.504458,-0.037005,0.460855,0.441772,-0.026838,0.44974,0.459393,-0.007864,0.451103,0.483422,0.002073,0.518024,0.490411,-0.02521,0.484796,0.456334,-0.015426,0.474525,0.469814,-0.002051,0.477391,0.488776,0.006285
g,0.535848,0.630322,0.0,0.471605,0.636496,-0.003045,0.425222,0.603054,-0.009096,0.410483,0.548783,-0.009038,0.418281,0.511227,-0.009182,0.444943,0.563039,-0.053288,0.430432,0.476331,-0.061761,0.418419,0.434983,-0.063533,0.406913,0.405259,-0.064653,0.479628,0.534819,-0.049234,0.449031,0.451769,-0.050435,0.435088,0.456134,-0.038166,0.429245,0.475151,-0.030257,0.506335,0.514622,-0.040763,0.471988,0.44799,-0.033951,0.455942,0.457588,-0.015911,0.451442,0.478049,-0.005439,0.525864,0.503335,-0.032154,0.49408,0.462254,-0.023658,0.479123,0.4707,-0.010298,0.475933,0.486614,-0.001331
g,0.54268,0.648731,0.0,0.481157,0.653538,-0.008413,0.431831,0.617587,-0.017819,0.416564,0.561488,-0.022119,0.429531,0.524571,-0.026157,0.454947,0.589366,-0.049935,0.443483,0.501852,-0.058918,0.430635,0.458289,-0.060848,0.419441,0.427826,-0.062487,0.49225,0.563875,-0.047678,0.461591,0.468759,-0.05739,0.4467,0.47107,-0.0516,0.442373,0.494377,-0.045459,0.520387,0.542727,-0.041607,0.485121,0.462406,-0.04328,0.469967,0.472501,-0.029663,0.467988,0.497234,-0.019379,0.540825,0.529213,-0.035808,0.508229,0.475981,-0.033743,0.493754,0.486841,-0.023049,0.491689,0.50716,-0.01457
